AlertID,County,EndRoadwayLocation,EndTime,EventCategory,EventStatus,ExtendedDescription,HeadlineDescription,LastUpdatedTime,Priority,Region,StartRoadwayLocation,StartTime,timestamp
624112,Grant,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.569251504, ""Longitude"": -119.448502175, ""MilePost"": 89.56, ""RoadName"": ""017""}",,Rest Area,Open,,The blue Lake rest area is closed for the winter.,/Date(1731629066113-0800)/,Low,North Central,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.569251504, ""Longitude"": -119.448502175, ""MilePost"": 89.56, ""RoadName"": ""017""}",/Date(1731628800000-0800)/,2025-02-04 16:23:32.489436
632835,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.504307562, ""Longitude"": -121.884570895, ""MilePost"": 27.59, ""RoadName"": ""018""}",,Construction,Open,,Eastbound and westbound SR 18 will shift to the new westbound lanes between Raging River and Deep Creek to allow for rehab of the existing lanes. Please slow down and use caution in the transition areas.,/Date(1737761204897-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.486733564, ""Longitude"": -121.888301248, ""MilePost"": 26.36, ""RoadName"": ""018""}",/Date(1738155600000-0800)/,2025-02-04 16:23:32.489436
561051,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.986509592, ""Longitude"": -123.543131798, ""MilePost"": 13.3, ""RoadName"": ""012""}",/Date(1767196800000-0800)/,Construction,Open,,"US 12 is reduced to one lane in each direction at Monte-Brady Road in Montesano. The speed limit is reduced to 50 mph for a <a href=""https://wsdot.wa.gov/construction-planning/search-projects/us-12-sr-8-grays-harbor-county-fish-passage-barriers-remove-fish-barriers"">fish barrier removal project</a>.",/Date(1733323301377-0800)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.982067911, ""Longitude"": -123.570871717, ""MilePost"": 11.95, ""RoadName"": ""012""}",/Date(1691532000000-0700)/,2025-02-04 16:23:32.489436
634451,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.762821143, ""Longitude"": -122.192069878, ""MilePost"": 16.8, ""RoadName"": ""007""}",/Date(1738888200000-0800)/,Maintenance,Open,,"Monday, Feb. 3 to Thursday, Feb. 6: Travelers in both directions of SR 7, between Fairhart Way and the SR 7/SR 706 interchange, will alternate intermittently through a single lane with flaggers, daily from 8 a.m. to 4:30 p.m., for utility line installation work. Plan for delays of up to 20 minutes when flaggers are present.",/Date(1738364947003-0800)/,Medium,Southwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.559042394, ""Longitude"": -122.275261285, ""MilePost"": 0.5, ""RoadName"": ""007""}",/Date(1738587600000-0800)/,2025-02-04 16:23:32.489436
553621,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.677020945, ""Longitude"": -117.363754372, ""MilePost"": 240.0, ""RoadName"": ""Greene""}",,Construction,Open,,Construction has closed E. South Riverton Avenue between Fiske and Ermina Avenue near Spokane Community College. The closure is part of work happening for the North Spokane Corridor River Crossing project.,/Date(1686860415350-0700)/,Medium,Eastern,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.677020945, ""Longitude"": -117.363754372, ""MilePost"": 240.0, ""RoadName"": ""Greene""}",/Date(1685973600000-0700)/,2025-02-04 16:23:32.489436
583671,,"{""Description"": null, ""Direction"": ""W"", ""Latitude"": 47.579650228, ""Longitude"": -122.151067673, ""MilePost"": 11.03, ""RoadName"": ""090""}",/Date(1771765200000-0800)/,Construction,Open,,"The westbound I-90 HOV lane will close between I-405 and 142nd Place Southeast for up to two years starting at 9 p.m. Monday, Feb. 26.

The long-term closure of the 142nd Place Southeast HOV on-ramp to westbound I-90 begins at the same time. Signed detours will be available.",/Date(1708723313933-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""W"", ""Latitude"": 47.580257883, ""Longitude"": -122.178881386, ""MilePost"": 9.72, ""RoadName"": ""090""}",/Date(1708723080000-0800)/,2025-02-04 16:23:32.489436
510675,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""020""}",,Closure,Open,,Until further notice - The Ault Field/Hoffman Road Park and Ride on SR 20 is closed for maintenance.,/Date(1679957391457-0700)/,High,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.332616487, ""Longitude"": -122.630381476, ""MilePost"": 35.0, ""RoadName"": ""020""}",/Date(1659038220000-0700)/,2025-02-04 16:23:32.489436
566603,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""008""}",/Date(1758567540000-0700)/,Construction,Open,,Temporary left turn restrictions are in effect for travelers in both directions of SR 8 east of McCleary at Mox Chehalis Road East.,/Date(1718320386180-0700)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.050433216, ""Longitude"": -123.231149151, ""MilePost"": 9.0, ""RoadName"": ""008""}",/Date(1695409140000-0700)/,2025-02-04 16:23:32.489436
631745,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""101""}",/Date(1798742160000-0800)/,Maintenance,Open,,The climbing lane on northbound US 101 approaching Cosi Hill is closed.,/Date(1736793555483-0800)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 46.922830762, ""Longitude"": -123.718605673, ""MilePost"": 77.3, ""RoadName"": ""101""}",/Date(1736793360000-0800)/,2025-02-04 16:23:32.489436
468632,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.6390387, ""Longitude"": -122.220590099, ""MilePost"": 5.0, ""RoadName"": ""520""}",,Flammable Cargo Restriction,Open,,Flammable cargo is prohibited on SR 520 eastbound & westbound from Montlake Blvd (MP 1) to 84th Ave NE (MP 5).,/Date(1631541620707-0700)/,High,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.644373883, ""Longitude"": -122.303082155, ""MilePost"": 1.0, ""RoadName"": ""520""}",/Date(1631541540000-0700)/,2025-02-04 16:23:32.489436
