BarometricPressure,Latitude,Longitude,PrecipitationInInches,ReadingTime,RelativeHumidity,SkyCoverage,StationID,StationName,TemperatureInFahrenheit,Visibility,WindDirection,WindDirectionCardinal,WindGustSpeedInMPH,WindSpeedInMPH,timestamp
950.0,47.4748,-122.2704,,/Date(1738713607000-0800)/,99.0,N/A,1909,S 144th St on SB I-5 at mp 155.32,42.44,1.0,,N/A,4.0,1.0,2025-02-04 16:23:32.489436
,47.760632547,-122.18404783,,/Date(1738713616000-0800)/,58.0,N/A,1910,NE 195th on SB I-405 at mp 24.58,40.82,1.0,5.0,N,0.0,0.0,2025-02-04 16:23:32.489436
971.2,47.509,-121.885,,/Date(1738713608000-0800)/,88.0,N/A,1928,EB I-90 / SR-18 (Echo Lake) at mp 26.30,33.8,1.0,249.0,WSW,2.0,1.0,2025-02-04 16:23:32.489436
993.1,47.726,-122.324,,/Date(1738713604000-0800)/,72.0,N/A,1966,NE 130th Street on I-5 at mp 173.75,38.3,1.0,,N/A,5.0,4.0,2025-02-04 16:23:32.489436
,46.436,-117.35,,/Date(1738714053000-0800)/,96.0,N/A,1968,Alpowa Summit on US 12 at mp 413.36,27.68,0.0,3.0,N,3.0,2.0,2025-02-04 16:23:32.489436
,47.0338,-123.0971,,/Date(1738714304000-0800)/,97.0,N/A,1970,Rock Candy Mountain on SR 8 at mp 16.11,34.52,1.0,124.0,SE,0.0,0.0,2025-02-04 16:23:32.489436
,47.5555,-120.5866,,/Date(1738713010000-0800)/,57.0,N/A,1972,Dryden Road on US 2 at mp 104.81,28.4,0.0,70.0,ENE,1.0,0.0,2025-02-04 16:23:32.489436
,48.0703,-124.049,,/Date(1738714306000-0800)/,83.0,N/A,1975,Heckelsville Shed on US 101 at mp 214.75,30.38,1.0,49.0,NE,4.0,1.0,2025-02-04 16:23:32.489436
,46.887,-120.427,,/Date(1738713642000-0800)/,85.0,N/A,1977,Manastash Ridge Eastbound on I-82 at mp 7.76,24.62,1.0,90.0,E,3.0,0.0,2025-02-04 16:23:32.489436
,46.928,-120.5,,/Date(1738713658000-0800)/,73.0,N/A,1978,Manastash Ridge Westbound on I-82 at mp 3.75,28.58,1.0,75.0,ENE,8.0,5.0,2025-02-04 16:23:32.489436
,47.078,-120.724,,/Date(1738713666000-0800)/,76.0,N/A,1980,Rocky Canyon on I-90 at mp 95.74,28.04,0.0,95.0,E,6.0,2.0,2025-02-04 16:23:32.489436
,46.943,-120.165,,/Date(1738713633000-0800)/,74.0,N/A,1981,Ryegrass Summit on I-90 at mp 125.80,23.18,,70.0,ENE,8.0,6.0,2025-02-04 16:23:32.489436
927.4,48.688,-122.4,,/Date(1738713614000-0800)/,85.0,N/A,1982,Lake Samish Park and Ride on I-5 at mp 246.25,29.48,1.0,130.0,SE,3.0,0.0,2025-02-04 16:23:32.489436
895.5,45.985,-120.652,,/Date(1738714266000-0800)/,92.0,N/A,1983,Satus Pass on US 97 at mp 27.20,24.08,1.0,,N/A,7.0,2.0,2025-02-04 16:23:32.489436
