station_id,barometric_pressure,latitude,longitude,loc_key,percipitation,reading_time,humidity,sky_coverage,raw_roadname,road_key,mp,temp,visibility,wind_direction,wind_gust_speed,avg_wind_speed,updated,last_refresh
1909,961.4,47.4748,-122.27,357c844db3bbb3c720139804d33ce751,UNKNOWN,"2025-02-15 01:00:08",99,N/A,I-5,I-5,155.32,39.56,1,E,0,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
1910,NULL,47.7606,-122.184,626e10600b6bc9a03e7bbff2e906b8e6,UNKNOWN,"2025-02-15 01:00:18",79,N/A,I-405,I-405,24.58,39.2,1,N,0,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
1928,986.2,47.509,-121.885,323f70a5b3e281cb98eec0e5ff3ea7a0,UNKNOWN,"2025-02-15 01:00:09",93,N/A,I-90,I-90,26.30,34.88,1,NE,2,1,"2025-02-14 17:16:22","2025-02-15 01:19:53"
1966,1008.2,47.726,-122.324,9f8b23a8664ce205469de7d64ee82445,UNKNOWN,"2025-02-15 01:00:05",81,N/A,I-5,I-5,173.75,38.84,1,NE,4,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
1968,NULL,46.436,-117.35,d0781ecc65e6ac22d4c0070158284ddd,UNKNOWN,"2025-02-15 01:07:33",93,N/A,"US 12",US-12,413.36,21.02,9,N/A,5,4,"2025-02-14 17:16:22","2025-02-15 01:19:53"
1970,NULL,47.0338,-123.097,3b8db74c4705aeea44905aa5c4f12d60,UNKNOWN,"2025-02-15 01:01:50",96,N/A,"SR 8",SR-8,16.11,37.22,1,S,1,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
1972,NULL,47.5555,-120.587,5e73714065b344fcec7cccea62bd3e5d,UNKNOWN,"2025-02-15 00:50:13",45,N/A,"US 2",US-2,104.81,33.62,0,SE,4,2,"2025-02-14 17:16:22","2025-02-15 01:19:53"
1975,NULL,48.0703,-124.049,62747abf76dc12f557e33f52ffcfa879,UNKNOWN,"2025-02-15 01:02:06",96,N/A,"US 101",US-101,214.75,34.88,1,NNE,1,0,"2025-02-14 17:16:22","2025-02-15 01:19:53"
1977,NULL,46.887,-120.427,52007de883d7e7dc028ed8907066b0d5,UNKNOWN,"2025-02-15 01:00:43",78,N/A,I-82,I-82,7.76,30.56,1,N/A,9,6,"2025-02-14 17:16:22","2025-02-15 01:19:53"
1978,NULL,46.928,-120.5,db20ed35307fda0d3712db4ecb132648,UNKNOWN,"2025-02-15 01:00:49",67,N/A,I-82,I-82,3.75,35.6,1,N/A,9,6,"2025-02-14 17:16:22","2025-02-15 01:19:53"
