ID,barometric_pressure,latitude,longitude,loc_key,percipitation,reading_time,humidity,sky_coverage,station_id,raw_roadname,road_key,mp,temp,visibility,wind_direction,wind_gust_speed,avg_wind_speed,updated,last_refresh
1,954.8,47.4748,-122.27,357c844db3bbb3c720139804d33ce751,UNKNOWN,"2025-02-06 05:15:06",99,N/A,1909,I-5,I-5,155.32,36.5,1,SE,1,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
2,916.5,47.7606,-122.184,626e10600b6bc9a03e7bbff2e906b8e6,UNKNOWN,"2025-02-06 05:15:18",97,N/A,1910,I-405,I-405,24.58,34.16,1,N,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
3,977.8,47.509,-121.885,323f70a5b3e281cb98eec0e5ff3ea7a0,UNKNOWN,"2025-02-06 05:15:07",91,N/A,1928,I-90,I-90,26.30,31.1,1,N/A,2,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
4,999.4,47.726,-122.324,9f8b23a8664ce205469de7d64ee82445,UNKNOWN,"2025-02-06 05:15:03",97,N/A,1966,I-5,I-5,173.75,33.44,1,N/A,1,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
5,NULL,46.436,-117.35,d0781ecc65e6ac22d4c0070158284ddd,UNKNOWN,"2025-02-06 05:07:33",92,N/A,1968,"US 12",US-12,413.36,23.36,12,SSE,3,3,"2025-02-05 21:22:14","2025-02-11 21:09:20"
6,NULL,47.0338,-123.097,3b8db74c4705aeea44905aa5c4f12d60,UNKNOWN,"2025-02-06 05:11:39",97,N/A,1970,"SR 8",SR-8,16.11,32.9,1,SSE,8,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
7,NULL,47.5555,-120.587,5e73714065b344fcec7cccea62bd3e5d,UNKNOWN,"2025-02-06 05:05:10",77,N/A,1972,"US 2",US-2,104.81,18.86,0,N/A,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
8,NULL,48.0703,-124.049,62747abf76dc12f557e33f52ffcfa879,UNKNOWN,"2025-02-06 05:11:41",87,N/A,1975,"US 101",US-101,214.75,27.68,1,NNE,4,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
9,NULL,46.887,-120.427,52007de883d7e7dc028ed8907066b0d5,UNKNOWN,"2025-02-06 05:15:42",98,N/A,1977,I-82,I-82,7.76,18.5,1,N/A,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
10,NULL,46.928,-120.5,db20ed35307fda0d3712db4ecb132648,UNKNOWN,"2025-02-06 05:15:49",92,N/A,1978,I-82,I-82,3.75,21.56,1,N/A,2,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
11,NULL,47.078,-120.724,6505b27d3e5aa69f584c5ccd7533b2c1,UNKNOWN,"2025-02-06 05:15:57",96,N/A,1980,I-90,I-90,95.74,19.22,1,SE,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
12,NULL,46.943,-120.165,463eac25edbfe9c8815e5fd08d3a0355,UNKNOWN,"2025-02-06 05:15:34",81,N/A,1981,I-90,I-90,125.80,17.6,NULL,E,6,5,"2025-02-05 21:22:14","2025-02-11 21:09:20"
13,960.8,48.688,-122.4,056980c66b1942d8239d923612e4bef8,UNKNOWN,"2025-02-06 05:15:15",97,N/A,1982,I-5,I-5,246.25,28.94,1,SE,1,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
14,903.5,45.985,-120.652,23346b1c2f4be952607e8aa9806c185e,UNKNOWN,"2025-02-06 05:11:08",99,N/A,1983,"US 97",US-97,27.20,25.7,1,S,6,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
15,NULL,47.7459,-121.089,8115a394c0df0003f67e27be241dc71c,UNKNOWN,"2025-02-06 05:05:07",NULL,N/A,1984,"US 2",US-2,64.58,NULL,NULL,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
16,1014.6,48.992,-122.272,31f52acbe80d5ca59c50695174ccff55,UNKNOWN,"2025-02-06 05:15:20",50,N/A,1985,"SR 9",SR-9,97.50,26.6,1,NE,13,7,"2025-02-05 21:22:14","2025-02-11 21:09:20"
17,NULL,47.043,-119.916,2a7a29813ae9629e2769b81878cd49d6,UNKNOWN,"2025-02-06 05:20:02",76,N/A,1987,I-90,I-90,143.86,21.02,1,NE,3,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
18,NULL,47.113,-120.786,6a7a1b9d89146ce16b610b4545939063,UNKNOWN,"2025-02-06 05:16:31",NULL,N/A,1989,I-90,I-90,92.12,NULL,0,SE,2,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
19,NULL,48.0504,-122.952,a93c0e9cb53455d5dabb6bf60d2dd420,UNKNOWN,"2025-02-06 05:11:49",100,N/A,2044,"US 101",US-101,274.60,30.56,1,N/A,4,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
20,NULL,48.0938,-123.278,6ec39a2eb40f09291599f66aecf169a1,UNKNOWN,"2034-02-01 15:33:43",NULL,N/A,2045,UNKNOWN,UNKNOWN,UNKNOWN,NULL,NULL,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
21,987.1,45.569,-122.203,59394510859bac334c87ec9b992f0d94,UNKNOWN,"2025-02-06 05:11:44",89,N/A,2061,"SR 14",SR-14,23.95,34.7,1,N/A,2,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
22,NULL,47.4435,-121.669,f7677fa668c91971f049e14a6df8b5d6,UNKNOWN,"2025-02-06 05:18:57",71,N/A,2068,I-90,I-90,37.75,30.56,1,E,9,6,"2025-02-05 21:22:14","2025-02-11 21:09:20"
23,993.1,47.473,-121.742,0ee10721e8842720d53a25b0e39fe033,UNKNOWN,"2025-02-06 05:15:10",59,N/A,2069,I-90,I-90,33.50,34.7,1,ENE,6,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
24,NULL,47.427,-121.418,901659409b27f750342ef4d104bbda5c,UNKNOWN,"2025-02-06 05:18:33",96,N/A,2085,I-90,I-90,52.26,19.94,1,NNE,2,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
25,NULL,47.4187,-121.444,492b4bdc3c834e4e3907cc7af2e352aa,UNKNOWN,"2025-02-06 05:18:49",88,N/A,2086,I-90,I-90,50.44,22.64,1,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
26,NULL,47.426,-121.432,7393de3c38febd8e14cf6c50f5be4889,UNKNOWN,"2025-02-06 05:18:41",91,N/A,2087,I-90,I-90,51.25,20.66,1,N,1,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
27,NULL,47.3348,-120.577,8cd14c1564f9376ff7b5c136e7ef3db5,UNKNOWN,"2025-02-06 05:05:04",9,N/A,2108,"US 97",US-97,163.75,13.46,NULL,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
28,NULL,46.638,-121.39,a36bd3881268633b0b915330f1f02886,UNKNOWN,"2025-02-06 05:17:01",97,N/A,2139,"US 12",US-12,150.92,18.14,1,SE,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
29,NULL,47.3019,-120.068,1474c8ad71ca7a1c75c8fd980004079d,UNKNOWN,"2025-02-06 05:07:14",54,N/A,2173,"SR 28",SR-28,14.44,22.46,1,ENE,7,5,"2025-02-05 21:22:14","2025-02-11 21:09:20"
